Description	Iteration	Algorithm	Features
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	gamma-glutamyl-transpeptidase
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	gamma-glutamyl-transpeptidase,alkaline-phosphotase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	gamma-glutamyl-transpeptidase,alamine-aminotransferase,aspartate-aminotransferase,num-half-pint-equivalents,mean-corpuscular-vol,alkaline-phosphotase
liver-disorder	1	/AlgorithmScripts/Classification/tsv/keras/dnn	gamma-glutamyl-transpeptidase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol,num-half-pint-equivalents,alkaline-phosphotase
liver-disorder	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	gamma-glutamyl-transpeptidase,alamine-aminotransferase,aspartate-aminotransferase,num-half-pint-equivalents,mean-corpuscular-vol,alkaline-phosphotase
liver-disorder	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	gamma-glutamyl-transpeptidase,aspartate-aminotransferase,alamine-aminotransferase,alkaline-phosphotase,num-half-pint-equivalents,mean-corpuscular-vol
liver-disorder	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	gamma-glutamyl-transpeptidase,num-half-pint-equivalents,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	gamma-glutamyl-transpeptidase,alkaline-phosphotase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	gamma-glutamyl-transpeptidase,num-half-pint-equivalents,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol,alkaline-phosphotase
liver-disorder	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	aspartate-aminotransferase,alamine-aminotransferase,gamma-glutamyl-transpeptidase,mean-corpuscular-vol,num-half-pint-equivalents
liver-disorder	2	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	num-half-pint-equivalents,mean-corpuscular-vol,alkaline-phosphotase
liver-disorder	2	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	num-half-pint-equivalents,alamine-aminotransferase,gamma-glutamyl-transpeptidase,mean-corpuscular-vol,aspartate-aminotransferase,alkaline-phosphotase
liver-disorder	2	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	alamine-aminotransferase,gamma-glutamyl-transpeptidase,alkaline-phosphotase,mean-corpuscular-vol,aspartate-aminotransferase
liver-disorder	2	/AlgorithmScripts/Classification/tsv/keras/dnn	num-half-pint-equivalents,mean-corpuscular-vol,alkaline-phosphotase,aspartate-aminotransferase,gamma-glutamyl-transpeptidase,alamine-aminotransferase
liver-disorder	2	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	num-half-pint-equivalents,mean-corpuscular-vol,alkaline-phosphotase,aspartate-aminotransferase,gamma-glutamyl-transpeptidase,alamine-aminotransferase
liver-disorder	2	/AlgorithmScripts/Classification/tsv/mlr/mlp	alamine-aminotransferase,gamma-glutamyl-transpeptidase,alkaline-phosphotase,mean-corpuscular-vol,aspartate-aminotransferase
liver-disorder	2	/AlgorithmScripts/Classification/tsv/mlr/xgboost	num-half-pint-equivalents,alkaline-phosphotase,gamma-glutamyl-transpeptidase,alamine-aminotransferase,mean-corpuscular-vol,aspartate-aminotransferase
liver-disorder	2	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	num-half-pint-equivalents,alamine-aminotransferase,gamma-glutamyl-transpeptidase,mean-corpuscular-vol,aspartate-aminotransferase,alkaline-phosphotase
liver-disorder	2	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	gamma-glutamyl-transpeptidase,alamine-aminotransferase,alkaline-phosphotase,mean-corpuscular-vol,aspartate-aminotransferase
liver-disorder	2	/AlgorithmScripts/Classification/tsv/sklearn/svm	gamma-glutamyl-transpeptidase,alamine-aminotransferase,alkaline-phosphotase,mean-corpuscular-vol,aspartate-aminotransferase
liver-disorder	3	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	alkaline-phosphotase,gamma-glutamyl-transpeptidase,alamine-aminotransferase
liver-disorder	3	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	gamma-glutamyl-transpeptidase,alamine-aminotransferase,aspartate-aminotransferase,alkaline-phosphotase,num-half-pint-equivalents
liver-disorder	3	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	gamma-glutamyl-transpeptidase,alamine-aminotransferase,alkaline-phosphotase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	3	/AlgorithmScripts/Classification/tsv/keras/dnn	alkaline-phosphotase,gamma-glutamyl-transpeptidase,alamine-aminotransferase,num-half-pint-equivalents,mean-corpuscular-vol,aspartate-aminotransferase
liver-disorder	3	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	gamma-glutamyl-transpeptidase,alamine-aminotransferase,aspartate-aminotransferase
liver-disorder	3	/AlgorithmScripts/Classification/tsv/mlr/mlp	gamma-glutamyl-transpeptidase,alamine-aminotransferase,alkaline-phosphotase
liver-disorder	3	/AlgorithmScripts/Classification/tsv/mlr/xgboost	alamine-aminotransferase,gamma-glutamyl-transpeptidase,aspartate-aminotransferase
liver-disorder	3	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	num-half-pint-equivalents
liver-disorder	3	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	gamma-glutamyl-transpeptidase,alamine-aminotransferase,alkaline-phosphotase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	3	/AlgorithmScripts/Classification/tsv/sklearn/svm	gamma-glutamyl-transpeptidase,alamine-aminotransferase,aspartate-aminotransferase
liver-disorder	4	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	gamma-glutamyl-transpeptidase,num-half-pint-equivalents,alkaline-phosphotase
liver-disorder	4	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	gamma-glutamyl-transpeptidase,alamine-aminotransferase,num-half-pint-equivalents,aspartate-aminotransferase,mean-corpuscular-vol,alkaline-phosphotase
liver-disorder	4	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	gamma-glutamyl-transpeptidase,alkaline-phosphotase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	4	/AlgorithmScripts/Classification/tsv/keras/dnn	gamma-glutamyl-transpeptidase,aspartate-aminotransferase,mean-corpuscular-vol,alamine-aminotransferase,alkaline-phosphotase,num-half-pint-equivalents
liver-disorder	4	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	gamma-glutamyl-transpeptidase,num-half-pint-equivalents,alkaline-phosphotase,aspartate-aminotransferase,mean-corpuscular-vol,alamine-aminotransferase
liver-disorder	4	/AlgorithmScripts/Classification/tsv/mlr/mlp	alkaline-phosphotase,num-half-pint-equivalents,gamma-glutamyl-transpeptidase,alamine-aminotransferase,mean-corpuscular-vol,aspartate-aminotransferase
liver-disorder	4	/AlgorithmScripts/Classification/tsv/mlr/xgboost	gamma-glutamyl-transpeptidase,alkaline-phosphotase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	4	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	gamma-glutamyl-transpeptidase,alkaline-phosphotase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	4	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	gamma-glutamyl-transpeptidase,alkaline-phosphotase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	4	/AlgorithmScripts/Classification/tsv/sklearn/svm	alamine-aminotransferase,gamma-glutamyl-transpeptidase,aspartate-aminotransferase
liver-disorder	5	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	alamine-aminotransferase,gamma-glutamyl-transpeptidase,num-half-pint-equivalents
liver-disorder	5	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	gamma-glutamyl-transpeptidase,num-half-pint-equivalents,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	5	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	gamma-glutamyl-transpeptidase,alamine-aminotransferase,aspartate-aminotransferase
liver-disorder	5	/AlgorithmScripts/Classification/tsv/keras/dnn	gamma-glutamyl-transpeptidase,alkaline-phosphotase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	5	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	gamma-glutamyl-transpeptidase,num-half-pint-equivalents,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	5	/AlgorithmScripts/Classification/tsv/mlr/mlp	alamine-aminotransferase,aspartate-aminotransferase,gamma-glutamyl-transpeptidase,alkaline-phosphotase,num-half-pint-equivalents,mean-corpuscular-vol
liver-disorder	5	/AlgorithmScripts/Classification/tsv/mlr/xgboost	gamma-glutamyl-transpeptidase,alkaline-phosphotase,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	5	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	gamma-glutamyl-transpeptidase,num-half-pint-equivalents,alkaline-phosphotase,aspartate-aminotransferase,mean-corpuscular-vol,alamine-aminotransferase
liver-disorder	5	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	gamma-glutamyl-transpeptidase,num-half-pint-equivalents,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
liver-disorder	5	/AlgorithmScripts/Classification/tsv/sklearn/svm	gamma-glutamyl-transpeptidase,num-half-pint-equivalents,alamine-aminotransferase,aspartate-aminotransferase,mean-corpuscular-vol
